MATNR;MAKTX
RP075030;P STICKER 2078X35MM TATTI COTTON ORGANI
RP040009;One Way Pallet (Throw Away)
RSN04066;Nonwoven core wrap  150 mm 10 gsm SMS ph
RSN04073;Nonwoven SMS core wrap 15 gsm / 150 mm w
RP040008;No Pallet
RSN01209;NW topsheet EMB 24 gsm 1050mm Pegas
RSN01253;NW TS 90/22G WHI
RSN01240;NW TS 90/18G PHI WHI
RSN01257;NW TS 80/40G WHI
RSN01238;NW TS 80/35G PHI SOFT WHI
RSN01239;NW TS 80/24G PHI SOFT WHI
RSN01256;NW TS 180/40G WHI
RSN01263;NW TS 180/35G PHI SOFT WHI
RN010129;NW TS 170/38g PHI EMBOSS WHI
RN010119;NW TS 170/33G WHI
RN010008;NW TS 170/24g PHI EMBOSS WHI JOFO
RN010130;NW TS 170/24g PHI EMBOSS WHI
RN010128;NW TS 165/15G PHI WHI
RSN01177;NW TAB TS 170/30G SOFT WHI PET/PE
RSN01176;NW TAB TS 170/20G SOFT WHI PET/PE
RSN01178;NW TAB TS 165/30G SOFT WHI PET/PE
RSN01175;NW TAB TS 165/20G SOFT WHI PET/PE
RSN05085;NW TAB ADL170/21g SB(PS6FW-12A 021FA0170
RSN05083;NW TAB ADL160/21g SB(PS6FW-12A 021FA0160
RSN05082;NW TAB ADL150/21g SB(PS6FW-12A 021FA0150
RSN05170;NW TAB ADL 90/50g PHI STAND WHI GENERAL
RSN05169;NW TAB ADL 85/30g PHI STAND WHI GENERAL
RSN05095;NW TAB ADL 85/142/30g PHI WHI
RN050004;NW TAB ADL 80/50g PHI LOFT 372 GRN TWE
RN050003;NW TAB ADL 80/50g PHI LOFT 161 WHI TWE
RN050070;NW TAB ADL 80/50G PHI MD-ROD WHI PE/PLA
RN050069;NW TAB ADL 80/35G PHI MD-ROD WHI PE/PLA
RN050081;NW TAB ADL 80/25g PHI WHI Dryweb T50 FD3
RSN05086;NW TAB ADL 80/21g SB(PS6FW-12A 021FA0080
RN050071;NW TAB ADL 80/21g SB FlashDry 1.0
RN050079;NW TAB ADL 80/16g SB Flash 1.0  ca 05%
RSN05087;NW TAB ADL 80/120g PHI WHI M1K161
RSN05094;NW TAB ADL 100/50g PHI WHI
RSN08101;NW SSS OUT WB 430/15g PHO
RSN08097;NW SSS OUT WB 430/14g PHO
RSN08121;NW SSS OUT WB 420/15g PHO
RSN08100;NW SSS OUT WB 405/15g PHO
RSN08096;NW SSS OUT WB 405/14g PHO
RSN08099;NW SSS OUT WB 380/15g PHO
RSN08095;NW SSS OUT WB 380/14g PHO
RSN08098;NW SSS INN WB 330/15g PHO
RSN08094;NW SSS INN WB 330/14g PHO
RN010192;NW SMS TS 90/40g PHI STAND WHI
RSN01271;NW SMS TS 90/24g PHI SSOFT WHI
RN010149;NW SMS TS 90/18 PHI STAND WHI
RN020010;NW SMS TS 80/18G PHO SOFT WHI
RN030036;NW SMS SS CUFF 175/15G PHO CD-ROD WHI
RN030035;NW SMS SS CUFF 160/15G PHO CD-ROD WHI
RSN08152;NW SMS OUT 380/12g PHO SOFT WHI
RSN07069;NW SMS INNER 320/12g PHO WHI NETKANIKA
RSN08102;NW SMS INN WB 330/12g PHO NETKANIKA
RN070026;NW SMS INN WB 330/12g PHO NETKANIKA
RSN07058;NW SMS INN WB 325/12g PHO SOFT G2 WHI
RN070064;NW SMS INN 320/12g PHO STAND WHI NETKAN
RN040027;NW SMS CW 265/10g PHI STAND WHI
RN040004;NW SMS CW 150/8G HYDROPHILIC GRN
RN040005;NW SMS CW 150/15G PHI STAND WHI
RN040029;NW SMS CW 150/15G PHI STAND WHI
